46-13: CTR 35 (Sample 'E')
  725    4    1    0   2     <-- KG    KA    IPNT  IACT  KQT  (5I5)
0.005  9.0  0.03  0.001       <-- ACVX  FCHN  FCVX  FS         (free format)
0.0   0   0  9849600.0  1.0   <-- AK1   NORML ILOG  TIME  ACNM (free fmt: R,I,I,R,R)
MN552    2.140E-13 0.020            MN2N 00.00 IWX
FE54P    6.580E-11 0.020                       IWX
FE58G    1.740E-09 0.020            FENG 00.00 IWX
CO59G    6.350E-08 0.020            CONG 00.00 IWX
Estimated flux uncertainties
  51
1.000e-11 1.000e-10 5.000e-10 1.500e-09 4.000e-09 1.000e-08 2.530e-08 1.010e-06 
1.300e-06 3.000e-06 3.500e-06 8.100e-06 1.190e-05 2.500e-05 3.175e-05 3.713e-05 
3.910e-05 3.960e-05 4.830e-05 9.000e-05 1.430e-04 1.800e-04 1.885e-04 2.020e-04 
2.095e-04 2.200e-04 5.500e-04 6.700e-04 6.830e-04 9.500e-04 1.550e-03 1.800e-03 
2.250e-03 2.500e-03 3.900e-03 5.700e-03 5.200e-02 7.300e-02 7.500e-02 1.283e-01 
4.200e-01 7.500e-01 8.750e-01 1.010e+00 1.850e+00 2.479e+00 1.000e+01 1.284e+01 
1.384e+01 1.455e+01 2.000e+01 
0.000e+00 3.321e-01 6.270e-02 2.870e-02 1.160e-02 5.300e-03 2.010e-02 3.510e-02 
1.800e-02 3.280e-02 2.470e-02 1.070e-02 2.120e-02 1.630e-02 2.750e-02 5.280e-02 
1.890e-02 2.880e-02 2.180e-02 2.880e-02 8.200e-03 1.580e-02 4.900e-02 2.020e-02 
3.260e-02 1.480e-02 4.400e-03 7.500e-03 2.320e-02 7.500e-03 1.780e-02 8.500e-03 
2.140e-02 1.000e-02 1.560e-02 9.100e-03 1.490e-02 6.100e-03 1.460e-02 6.000e-03 
1.410e-02 7.400e-03 1.330e-02 9.300e-03 3.500e-03 1.030e-02 1.970e-02 3.470e-02 
1.305e-01 3.799e-01 6.035e-01 
MCNP-estimated MG flux
 252   0 1.0000e+00  300.0000    0.0000
