,E (MeV),loc,Power,Avg. Flux
0,1e-11,FT5,85.0,0.0
1,1e-11,FT5,100.0,0.0
2,1e-11,PTP,85.0,0.0
3,1e-11,PTP,100.0,0.0
4,1e-11,RB,85.0,0.0
5,1e-11,RB,100.0,0.0
6,1.05e-11,FT5,85.0,0.0
7,1.05e-11,FT5,100.0,0.0
8,1.05e-11,PTP,85.0,0.0
9,1.05e-11,PTP,100.0,0.0
10,1.05e-11,RB,85.0,0.0
11,1.05e-11,RB,100.0,0.0
12,1.1e-11,FT5,85.0,0.0
13,1.1e-11,FT5,100.0,0.0
14,1.1e-11,PTP,85.0,0.0
15,1.1e-11,PTP,100.0,0.0
16,1.1e-11,RB,85.0,0.0
17,1.1e-11,RB,100.0,0.0
18,1.15e-11,FT5,85.0,0.0
19,1.15e-11,FT5,100.0,0.0
20,1.15e-11,PTP,85.0,0.0
21,1.15e-11,PTP,100.0,0.0
22,1.15e-11,RB,85.0,0.0
23,1.15e-11,RB,100.0,0.0
24,1.2e-11,FT5,85.0,0.0
25,1.2e-11,FT5,100.0,0.0
26,1.2e-11,PTP,85.0,0.0
27,1.2e-11,PTP,100.0,0.0
28,1.2e-11,RB,85.0,0.0
29,1.2e-11,RB,100.0,0.0
30,1.275e-11,FT5,85.0,0.0
31,1.275e-11,FT5,100.0,0.0
32,1.275e-11,PTP,85.0,0.0
33,1.275e-11,PTP,100.0,0.0
34,1.275e-11,RB,85.0,0.0
35,1.275e-11,RB,100.0,0.0
36,1.35e-11,FT5,85.0,0.0
37,1.35e-11,FT5,100.0,0.0
38,1.35e-11,PTP,85.0,0.0
39,1.35e-11,PTP,100.0,0.0
40,1.35e-11,RB,85.0,0.0
41,1.35e-11,RB,100.0,0.0
42,1.425e-11,FT5,85.0,0.0
43,1.425e-11,FT5,100.0,0.0
44,1.425e-11,PTP,85.0,0.0
45,1.425e-11,PTP,100.0,0.0
46,1.425e-11,RB,85.0,0.0
47,1.425e-11,RB,100.0,0.0
48,1.5e-11,FT5,85.0,0.0
49,1.5e-11,FT5,100.0,0.0
50,1.5e-11,PTP,85.0,0.0
51,1.5e-11,PTP,100.0,0.0
52,1.5e-11,RB,85.0,0.0
53,1.5e-11,RB,100.0,0.0
54,1.6e-11,FT5,85.0,0.0
55,1.6e-11,FT5,100.0,0.0
56,1.6e-11,PTP,85.0,0.0
57,1.6e-11,PTP,100.0,0.0
58,1.6e-11,RB,85.0,0.0
59,1.6e-11,RB,100.0,0.0
60,1.7e-11,FT5,85.0,0.0
61,1.7e-11,FT5,100.0,0.0
62,1.7e-11,PTP,85.0,0.0
63,1.7e-11,PTP,100.0,0.0
64,1.7e-11,RB,85.0,0.0
65,1.7e-11,RB,100.0,0.0
66,1.8e-11,FT5,85.0,0.0
67,1.8e-11,FT5,100.0,0.0
68,1.8e-11,PTP,85.0,0.0
69,1.8e-11,PTP,100.0,0.0
70,1.8e-11,RB,85.0,0.0
71,1.8e-11,RB,100.0,0.0
72,1.9e-11,FT5,85.0,0.0
73,1.9e-11,FT5,100.0,0.0
74,1.9e-11,PTP,85.0,0.0
75,1.9e-11,PTP,100.0,0.0
76,1.9e-11,RB,85.0,0.0
77,1.9e-11,RB,100.0,0.0
78,2e-11,FT5,85.0,0.0
79,2e-11,FT5,100.0,0.0
80,2e-11,PTP,85.0,0.0
81,2e-11,PTP,100.0,0.0
82,2e-11,RB,85.0,0.0
83,2e-11,RB,100.0,0.0
84,2.1e-11,FT5,85.0,0.0
85,2.1e-11,FT5,100.0,0.0
86,2.1e-11,PTP,85.0,0.0
87,2.1e-11,PTP,100.0,0.0
88,2.1e-11,RB,85.0,0.0
89,2.1e-11,RB,100.0,0.0
90,2.2e-11,FT5,85.0,0.0
91,2.2e-11,FT5,100.0,0.0
92,2.2e-11,PTP,85.0,0.0
93,2.2e-11,PTP,100.0,0.0
94,2.2e-11,RB,85.0,0.0
95,2.2e-11,RB,100.0,0.0
96,2.3e-11,FT5,85.0,0.0
97,2.3e-11,FT5,100.0,0.0
98,2.3e-11,PTP,85.0,0.0
99,2.3e-11,PTP,100.0,0.0
100,2.3e-11,RB,85.0,0.0
101,2.3e-11,RB,100.0,0.0
102,2.4e-11,FT5,85.0,0.0
103,2.4e-11,FT5,100.0,0.0
104,2.4e-11,PTP,85.0,0.0
105,2.4e-11,PTP,100.0,0.0
106,2.4e-11,RB,85.0,0.0
107,2.4e-11,RB,100.0,0.0
108,2.55e-11,FT5,85.0,0.0
109,2.55e-11,FT5,100.0,0.0
110,2.55e-11,PTP,85.0,0.0
111,2.55e-11,PTP,100.0,0.0
112,2.55e-11,RB,85.0,0.0
113,2.55e-11,RB,100.0,0.0
114,2.7e-11,FT5,85.0,0.0
115,2.7e-11,FT5,100.0,0.0
116,2.7e-11,PTP,85.0,0.0
117,2.7e-11,PTP,100.0,0.0
118,2.7e-11,RB,85.0,0.0
119,2.7e-11,RB,100.0,0.0
120,2.8e-11,FT5,85.0,0.0
121,2.8e-11,FT5,100.0,0.0
122,2.8e-11,PTP,85.0,0.0
123,2.8e-11,PTP,100.0,0.0
124,2.8e-11,RB,85.0,0.0
125,2.8e-11,RB,100.0,0.0
126,3e-11,FT5,85.0,0.0
127,3e-11,FT5,100.0,0.0
128,3e-11,PTP,85.0,0.0
129,3e-11,PTP,100.0,0.0
130,3e-11,RB,85.0,0.0
131,3e-11,RB,100.0,0.0
132,3.2e-11,FT5,85.0,0.0
133,3.2e-11,FT5,100.0,0.0
134,3.2e-11,PTP,85.0,0.0
135,3.2e-11,PTP,100.0,0.0
136,3.2e-11,RB,85.0,0.0
137,3.2e-11,RB,100.0,0.0
138,3.4e-11,FT5,85.0,0.0
139,3.4e-11,FT5,100.0,0.0
140,3.4e-11,PTP,85.0,0.0
141,3.4e-11,PTP,100.0,0.0
142,3.4e-11,RB,85.0,0.0
143,3.4e-11,RB,100.0,0.0
144,3.6e-11,FT5,85.0,0.0
145,3.6e-11,FT5,100.0,0.0
146,3.6e-11,PTP,85.0,0.0
147,3.6e-11,PTP,100.0,0.0
148,3.6e-11,RB,85.0,0.0
149,3.6e-11,RB,100.0,0.0
150,3.8e-11,FT5,85.0,0.0
151,3.8e-11,FT5,100.0,0.0
152,3.8e-11,PTP,85.0,0.0
153,3.8e-11,PTP,100.0,0.0
154,3.8e-11,RB,85.0,0.0
155,3.8e-11,RB,100.0,0.0
156,4e-11,FT5,85.0,0.0
157,4e-11,FT5,100.0,0.0
158,4e-11,PTP,85.0,0.0
159,4e-11,PTP,100.0,0.0
160,4e-11,RB,85.0,0.0
161,4e-11,RB,100.0,0.0
162,4.25e-11,FT5,85.0,0.0
163,4.25e-11,FT5,100.0,0.0
164,4.25e-11,PTP,85.0,0.0
165,4.25e-11,PTP,100.0,0.0
166,4.25e-11,RB,85.0,0.0
167,4.25e-11,RB,100.0,0.0
168,4.5e-11,FT5,85.0,0.0
