Group,Flux,Uncert,Experiment,Sample,Loc,Power
thermal,1.108E+15,1.7,CTR-30,A,PTP,100.0
epithermal,8.9315E+14,1.52,CTR-30,A,PTP,100.0
fast,8.2758E+14,1.5,CTR-30,A,PTP,100.0
fast_2,4.2545E+14,1.51,CTR-30,A,PTP,100.0
thermal,1.3995E+15,2.65,CTR-30,B,PTP,100.0
epithermal,1.1236E+15,2.41,CTR-30,B,PTP,100.0
fast,1.0399E+15,2.38,CTR-30,B,PTP,100.0
fast_2,5.3432E+14,2.38,CTR-30,B,PTP,100.0
thermal,1.6364E+15,1.66,CTR-30,C,PTP,100.0
epithermal,1.2912E+15,1.51,CTR-30,C,PTP,100.0
fast,1.1882E+15,1.49,CTR-30,C,PTP,100.0
fast_2,6.1E+14,1.5,CTR-30,C,PTP,100.0
thermal,1.8118E+15,2.58,CTR-30,D,PTP,100.0
epithermal,1.4287E+15,2.39,CTR-30,D,PTP,100.0
fast,1.3144E+15,2.37,CTR-30,D,PTP,100.0
fast_2,6.7472E+14,2.38,CTR-30,D,PTP,100.0
thermal,1.9251E+15,1.65,CTR-30,E,PTP,100.0
epithermal,1.6262E+15,1.52,CTR-30,E,PTP,100.0
fast,1.5035E+15,1.49,CTR-30,E,PTP,100.0
fast_2,7.7093E+14,1.5,CTR-30,E,PTP,100.0
thermal,1.9365E+15,2.57,CTR-30,F,PTP,100.0
epithermal,1.6258E+15,2.4,CTR-30,F,PTP,100.0
fast,1.5055E+15,2.39,CTR-30,F,PTP,100.0
fast_2,7.7024E+14,2.39,CTR-30,F,PTP,100.0
thermal,1.9384E+15,1.66,CTR-30,G,PTP,100.0
epithermal,1.6245E+15,1.52,CTR-30,G,PTP,100.0
fast,1.5038E+15,1.5,CTR-30,G,PTP,100.0
fast_2,7.6927E+14,1.51,CTR-30,G,PTP,100.0
thermal,1.8289E+15,2.59,CTR-30,H,PTP,100.0
epithermal,1.4529E+15,2.4,CTR-30,H,PTP,100.0
fast,1.3439E+15,2.37,CTR-30,H,PTP,100.0
fast_2,6.8981E+14,2.37,CTR-30,H,PTP,100.0
thermal,1.6294E+15,1.67,CTR-30,I,PTP,100.0
epithermal,1.3396E+15,1.51,CTR-30,I,PTP,100.0
fast,1.243E+15,1.5,CTR-30,I,PTP,100.0
fast_2,6.3804E+14,1.5,CTR-30,I,PTP,100.0
thermal,1.1959E+15,1.76,CTR-30,J,PTP,100.0
epithermal,8.3327E+14,1.56,CTR-30,J,PTP,100.0
fast,7.7521E+14,1.53,CTR-30,J,PTP,100.0
fast_2,3.9988E+14,1.54,CTR-30,J,PTP,100.0
thermal,9.4115E+14,2.78,CTR-30,K,PTP,100.0
epithermal,6.4733E+14,2.45,CTR-30,K,PTP,100.0
fast,6.0096E+14,2.42,CTR-30,K,PTP,100.0
fast_2,3.0972E+14,2.43,CTR-30,K,PTP,100.0
thermal,1.0591E+15,1.46,CTR-31,A,PTP,100.0
epithermal,8.5189E+14,1.4,CTR-31,A,PTP,100.0
fast,7.8866E+14,1.38,CTR-31,A,PTP,100.0
fast_2,4.0523E+14,1.39,CTR-31,A,PTP,100.0
thermal,1.6288E+15,1.4,CTR-31,B,PTP,100.0
epithermal,1.2928E+15,1.36,CTR-31,B,PTP,100.0
fast,1.1901E+15,1.34,CTR-31,B,PTP,100.0
fast_2,6.1101E+14,1.35,CTR-31,B,PTP,100.0
thermal,1.9695E+15,1.44,CTR-31,C,PTP,100.0
epithermal,1.6472E+15,1.36,CTR-31,C,PTP,100.0
fast,1.5247E+15,1.35,CTR-31,C,PTP,100.0
fast_2,7.7994E+14,1.36,CTR-31,C,PTP,100.0
thermal,2.1492E+15,1.88,CTR-31,D,PTP,100.0
epithermal,1.8096E+15,1.77,CTR-31,D,PTP,100.0
fast,1.6765E+15,1.77,CTR-31,D,PTP,100.0
fast_2,8.5789E+14,1.79,CTR-31,D,PTP,100.0
thermal,1.9445E+15,1.42,CTR-31,E,PTP,100.0
epithermal,1.6361E+15,1.36,CTR-31,E,PTP,100.0
fast,1.5149E+15,1.35,CTR-31,E,PTP,100.0
fast_2,7.7488E+14,1.36,CTR-31,E,PTP,100.0
thermal,1.6409E+15,1.44,CTR-31,F,PTP,100.0
epithermal,1.3436E+15,1.39,CTR-31,F,PTP,100.0
fast,1.2445E+15,1.37,CTR-31,F,PTP,100.0
fast_2,6.3801E+14,1.38,CTR-31,F,PTP,100.0
thermal,1.2351E+15,1.5,CTR-31,G,PTP,100.0
epithermal,8.5742E+14,1.45,CTR-31,G,PTP,100.0
fast,7.969E+14,1.43,CTR-31,G,PTP,100.0
fast_2,4.1079E+14,1.44,CTR-31,G,PTP,100.0
thermal,1.1651E+15,1.47,CTR-32,A,PTP,100.0
epithermal,9.3333E+14,1.44,CTR-32,A,PTP,100.0
fast,8.6389E+14,1.43,CTR-32,A,PTP,100.0
fast_2,4.4374E+14,1.45,CTR-32,A,PTP,100.0
thermal,1.2887E+15,2.41,CTR-32,B,PTP,100.0
epithermal,1.0379E+15,2.24,CTR-32,B,PTP,100.0
fast,9.6137E+14,2.21,CTR-32,B,PTP,100.0
fast_2,4.9427E+14,2.21,CTR-32,B,PTP,100.0
thermal,1.6369E+15,1.37,CTR-32,C,PTP,100.0
epithermal,1.3093E+15,1.34,CTR-32,C,PTP,100.0
fast,1.2068E+15,1.33,CTR-32,C,PTP,100.0
fast_2,6.2011E+14,1.34,CTR-32,C,PTP,100.0
thermal,1.7938E+15,2.07,CTR-32,D,PTP,100.0
epithermal,1.4145E+15,1.99,CTR-32,D,PTP,100.0
fast,1.3014E+15,2,CTR-32,D,PTP,100.0
fast_2,6.6803E+14,2.02,CTR-32,D,PTP,100.0
thermal,1.9623E+15,1.41,CTR-32,E,PTP,100.0
epithermal,1.6473E+15,1.37,CTR-32,E,PTP,100.0
fast,1.5219E+15,1.35,CTR-32,E,PTP,100.0
fast_2,7.7991E+14,1.35,CTR-32,E,PTP,100.0
thermal,1.8679E+15,2.57,CTR-32,F,PTP,100.0
epithermal,1.5682E+15,2.4,CTR-32,F,PTP,100.0
fast,1.4521E+15,2.39,CTR-32,F,PTP,100.0
fast_2,7.4294E+14,2.39,CTR-32,F,PTP,100.0
thermal,1.9679E+15,1.43,CTR-32,G,PTP,100.0
epithermal,1.6378E+15,1.37,CTR-32,G,PTP,100.0
fast,1.5148E+15,1.36,CTR-32,G,PTP,100.0
fast_2,7.744E+14,1.36,CTR-32,G,PTP,100.0
thermal,1.7124E+15,2.36,CTR-32,H,PTP,100.0
epithermal,1.3635E+15,2.22,CTR-32,H,PTP,100.0
fast,1.2617E+15,2.2,CTR-32,H,PTP,100.0
fast_2,6.4794E+14,2.2,CTR-32,H,PTP,100.0
thermal,1.6581E+15,1.43,CTR-32,I,PTP,100.0
