,E (MeV),Lethargy-weighted,loc
0,1e-11,1e-11,FT-5
1,1e-10,1e-10,FT-5
2,5e-10,5e-10,FT-5
3,7.5e-10,7.5e-10,FT-5
4,1e-09,1e-09,FT-5
5,1.2e-09,1.2e-09,FT-5
6,1.5e-09,1.5e-09,FT-5
7,2e-09,2e-09,FT-5
8,2.5e-09,2.5e-09,FT-5
9,3e-09,3e-09,FT-5
10,4e-09,4e-09,FT-5
11,5e-09,5e-09,FT-5
12,7.5e-09,7.5e-09,FT-5
13,1e-08,1e-08,FT-5
14,2.53e-08,2.53e-08,FT-5
15,3e-08,3e-08,FT-5
16,4e-08,4e-08,FT-5
17,5e-08,5e-08,FT-5
18,6e-08,6e-08,FT-5
19,7e-08,7e-08,FT-5
20,8e-08,8e-08,FT-5
21,9e-08,9e-08,FT-5
22,1e-07,1e-07,FT-5
23,1.25e-07,1.25e-07,FT-5
24,1.5e-07,1.5e-07,FT-5
25,1.75e-07,1.75e-07,FT-5
26,2e-07,2e-07,FT-5
27,2.25e-07,2.25e-07,FT-5
28,2.5e-07,2.5e-07,FT-5
29,2.75e-07,2.75e-07,FT-5
30,3e-07,3e-07,FT-5
31,3.25e-07,3.25e-07,FT-5
32,3.5e-07,3.5e-07,FT-5
33,3.75e-07,3.75e-07,FT-5
34,4e-07,4e-07,FT-5
35,4.5e-07,4.5e-07,FT-5
36,5e-07,5e-07,FT-5
37,5.5e-07,5.5e-07,FT-5
38,6e-07,6e-07,FT-5
39,6.25e-07,6.25e-07,FT-5
40,6.5e-07,6.5e-07,FT-5
41,7e-07,7e-07,FT-5
42,7.5e-07,7.5e-07,FT-5
43,8e-07,8e-07,FT-5
44,8.5e-07,8.5e-07,FT-5
45,9e-07,9e-07,FT-5
46,9.25e-07,9.25e-07,FT-5
47,9.5e-07,9.5e-07,FT-5
48,9.75e-07,9.75e-07,FT-5
49,1e-06,1e-06,FT-5
50,1.01e-06,1.01e-06,FT-5
51,1.02e-06,1.02e-06,FT-5
52,1.03e-06,1.03e-06,FT-5
53,1.04e-06,1.04e-06,FT-5
54,1.05e-06,1.05e-06,FT-5
55,1.06e-06,1.06e-06,FT-5
56,1.07e-06,1.07e-06,FT-5
57,1.08e-06,1.08e-06,FT-5
